galaxies.source.centre.centre_0,galaxies.source.centre.centre_1,    log_likelihood,          log_prior,     log_posterior,                weight
          0.0003873093051778941,            0.19910642232969866,-755595.2500188529,0.07928703484286041,-755595.1707318181, 0.0009599731799433633
         -0.0007101934963077267,            0.20014390390778375,-755595.2405045182,0.08011617329250074,-755595.1603883449, 0.0010929789773519714
          0.0010720566861088742,             0.2000415684356539, -755595.147726695,0.08003555681546927,-755595.0676911382,  0.001096723561288483
        -0.00012814403239904697,            0.20109511520291443,-755593.6432433971,0.08087852355873293,-755593.5623648736, 0.0030065202497637474
          0.0008234225866852804,            0.19977177097469942,-755593.4791133536,0.07981887700624804,-755593.3992944766,  0.005103732008239155
         0.00011167069079006804,            0.19935157469690618,-755593.1691741436,0.07948212560895869, -755593.089692018,  0.006214050715520206
        -0.00013763010819709985,            0.19945558122444065,-755593.1392634815,0.07956509564725225,-755593.0596983859,   0.00693166149681774
        -0.00011370971104172503,            0.19947696875656948,-755592.9211034328,0.07958214798841556,-755592.8415212848,  0.007517024403092629
          0.0007512229071084827,             0.1999255214785613,-755592.4950858129,0.07994155694866167, -755592.415144256,  0.010044733226714684
        -0.00026922896723633263,            0.19987464114260817,-755591.9760308135,0.07989988931224638,-755591.8961309242,   0.01551152943624426
        -0.00026922896723633263,            0.19987464114260817,-755591.9760308135,0.07989988931224638,-755591.8961309242,  0.019449186002492867
        -0.00026922896723633263,            0.19987464114260817,-755591.9760308135,0.07989988931224638,-755591.8961309242,  0.019449186002492867
          0.0005316317303948878,            0.20069363993129138,-755591.7169414125, 0.0805564394823352,-755591.6363849731,   0.01913591219080215
          0.0005316317303948878,            0.20069363993129138,-755591.7169414125, 0.0805564394823352,-755591.6363849731,  0.021601093525408288
          0.0004346073087806941,               0.19971274251029,-755591.5799175901,0.07977073680898848,-755591.5001468533,   0.02097890689695092
        -0.00027072673956558347,            0.20018366098531615,-755591.5112365151,  0.080147142836903,-755591.4310893723,    0.0221054502809877
        -0.00019019442725923616,              0.199914487186102,-755591.4627858179,0.07993167672160459,-755591.3828541412,   0.02231599763059188
         -8.358974347615505e-05,            0.19978587392848837,-755591.4031180505,0.07982880481723012,-755591.3232892457,  0.022437292787609812
         -8.358974347615505e-05,            0.19978587392848837,-755591.4031180505,0.07982880481723012,-755591.3232892457,  0.023106485843997267
         -8.358974347615505e-05,            0.19978587392848837,-755591.4031180505,0.07982880481723012,-755591.3232892457,  0.023106485843997267
         -8.358974347615505e-05,            0.19978587392848837,-755591.4031180505,0.07982880481723012,-755591.3232892457,  0.023106485843997267
         -8.358974347615505e-05,            0.19978587392848837,-755591.4031180505,0.07982880481723012,-755591.3232892457,  0.023106485843997267
         -8.358974347615505e-05,            0.19978587392848837,-755591.4031180505,0.07982880481723012,-755591.3232892457,  0.023106485843997267
         -8.358974347615505e-05,            0.19978587392848837,-755591.4031180505,0.07982880481723012,-755591.3232892457,  0.023106485843997267
